text,updateDt,video_id,remove_emoji,source,translated,remove_stopword,lemmatization
Hello.... excuse me. Ramen is super duper popular in malaysia.,2018-10-15 00:00:00+00:00,AZk7RBpeaHM,Hello.... excuse me. Ramen is super duper popular in malaysia.,en,Hello.... excuse me. Ramen is super duper popular in malaysia.,Hello .... excuse . Ramen super duper popular malaysia .,hello .... excuse . raman super duper popular malaysia .
Love seungri ❤ like,2018-07-29 00:00:00+00:00,j0N2GJUkE6Y,Love seungri  like,th,Love seungri like,Love seungri like,love seungri like
"the great seung my mood, i laughing like an idiot when i wathced him",2018-09-04 00:00:00+00:00,Jyhy6lnVwyA,"the great seung my mood, i laughing like an idiot when i wathced him",en,"the great seung my mood, i laughing like an idiot when i wathced him","great seung mood , laughing like idiot wathced","great seung mood , laugh like idiot wathce"
Hahaha don't be sad seung ri ssi...,2018-05-30 00:00:00+00:00,hii0tpk8Dss,Hahaha don't be sad seung ri ssi...,id,Hahahayu don't be sad for the ssi. . .,Hahahayu n't sad ssi . . .,Hahahayu not sad ssi . . .
"HAHAHHAAHA PART LISA ""!",2018-07-31 00:00:00+00:00,-ODTMpRFS5A,"HAHAHHAAHA PART LISA ""!",pt,_!,_ !,_ !
Stop teasing him!,2018-06-23 00:00:00+00:00,AZk7RBpeaHM,Stop teasing him!,en,Stop teasing him!,Stop teasing !,stop tease !
BRASIL É NOIS QUE TA,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,BRASIL É NOIS QUE TA,en,BRASIL É NOIS QUE TA,BRASIL É NOIS QUE TA,BRASIL É NOIS QUE TA
so is seungri the 8th member of ikon now lmao before this he's the 5th member of blackpink,2018-09-04 00:00:00+00:00,Jyhy6lnVwyA,so is seungri the 8th member of ikon now lmao before this he's the 5th member of blackpink,en,so is seungri the 8th member of ikon now lmao before this he's the 5th member of blackpink,seungri 8th member ikon lmao 's 5th member blackpink,seungri 8th member ikon lmao 's 5th member blackpink
🇷🇺❤U SEUNGRI,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,U SEUNGRI,th,USEUNGRI,USEUNGRI,USEUNGRI
I want to see Gdragon's house next,2018-07-14 00:00:00+00:00,Qo55vEgzvgI,I want to see Gdragon's house next,en,I want to see Gdragon's house next,I want see Gdragon 's house next,I want see Gdragon 's house next
"Please go stream Seungri new MV 1,2,3 and Where R U From",2018-09-09 00:00:00+00:00,Jyhy6lnVwyA,"Please go stream Seungri new MV 1,2,3 and Where R U From",en,"Please go stream Seungri new MV 1,2,3 and Where R U From","Please go stream Seungri new MV 1,2,3 Where R U From","please go stream Seungri new MV 1,2,3 where r u from"
This is what happen if u let Seungri  does everything alone without his hyung(s)😂😂,2018-11-17 00:00:00+00:00,m2MtOeuCgh8,This is what happen if u let Seungri  does everything alone without his hyung(s),en,This is what happen if u let Seungri  does everything alone without his hyung(s),This happen u let Seungri everything alone without hyung ( ),this happen u let seungri everything alone without hyung ( )
seungri 😂😂😂😂😂,2018-06-28 00:00:00+00:00,hii0tpk8Dss,seungri ,th,seung ri,seung ri,seung ri
Omg VIP fanchat so loud...miss to our yellow 👑,2018-07-22 00:00:00+00:00,MtW75y4kEfY,Omg VIP fanchat so loud...miss to our yellow ,en,Omg VIP fanchat so loud...miss to our yellow ,Omg VIP fanchat loud ... miss yellow,Omg VIP fanchat loud ... miss yellow
Tan genios!,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Tan genios!,en,Tan genios!,Tan genios !,tan genio !
"PERSONALLY FOR ME THIS IS THE BEST COMEBACK OF SEUNGRI 
YG RELEASED HIM FROM THE BASEMENT",2018-07-28 00:00:00+00:00,m2MtOeuCgh8,"PERSONALLY FOR ME THIS IS THE BEST COMEBACK OF SEUNGRI 
YG RELEASED HIM FROM THE BASEMENT",en,"PERSONALLY FOR ME THIS IS THE BEST COMEBACK OF SEUNGRI 
YG RELEASED HIM FROM THE BASEMENT",PERSONALLY FOR ME THIS IS THE BEST COMEBACK OF SEUNGRI YG RELEASED HIM FROM THE BASEMENT,PERSONALLY for I this be the BEST COMEBACK of SEUNGRI YG release he from the BASEMENT
"WHERE R U FROM ? 😂😂
Ji-Yong is not here so follow me ~",2018-07-27 00:00:00+00:00,m2MtOeuCgh8,"WHERE R U FROM ? 
Ji-Yong is not here so follow me ~",en,"WHERE R U FROM ? 
Ji-Yong is not here so follow me ~",WHERE R U FROM ? Ji-Yong follow ~,where r u from ? Ji - Yong follow ~
Seung ri😍😍,2018-09-12 00:00:00+00:00,Qo55vEgzvgI,Seung ri,id,Seung,Seung,Seung
볼때마다 새롭고 재미있음 ㅠㅠㅠㅠ진짜,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,볼때마다 새롭고 재미있음 ㅠㅠㅠㅠ진짜,ko,New and funny every time  ,New funny every time,new funny every time
There's a reason he's called *the great* seungri💕,2018-07-22 00:00:00+00:00,MtW75y4kEfY,There's a reason he's called *the great* seungri,en,There's a reason he's called *the great* seungri,There 's reason 's called * great * seungri,there be reason be call * great * seungri
"When seungri wants to be a 5th member of blackpink....he imitates lisa aijsndndns. But damn, Mino and Seungri is amazing duo. I want Mollado Mv too!!",2018-07-31 00:00:00+00:00,-ODTMpRFS5A,"When seungri wants to be a 5th member of blackpink....he imitates lisa aijsndndns. But damn, Mino and Seungri is amazing duo. I want Mollado Mv too!!",en,"When seungri wants to be a 5th member of blackpink....he imitates lisa aijsndndns. But damn, Mino and Seungri is amazing duo. I want Mollado Mv too!!","When seungri wants 5th member blackpink .... imitates lisa aijsndndns . But damn , Mino Seungri amazing duo . I want Mollado Mv ! !","when seungri want 5th member blackpink .... imitate lisa aijsndndns . but damn , Mino Seungri amazing duo . I want Mollado Mv ! !"
0:11 I don't know but I laughed.... LOL Hahaha,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,0:11 I don't know but I laughed.... LOL Hahaha,id,0:11 I don't know but I laughed. ... About Hahahaha,0:11 I n't know I laughed . ... About Hahahaha,0:11 I not know I laugh . ... about hahahaha
Yo any Malaysian went to Seungri's restaurant recently? I 100% recommend!! It's hella good. Not too pricey either.,2018-07-26 00:00:00+00:00,AZk7RBpeaHM,Yo any Malaysian went to Seungri's restaurant recently? I 100% recommend!! It's hella good. Not too pricey either.,en,Yo any Malaysian went to Seungri's restaurant recently? I 100% recommend!! It's hella good. Not too pricey either.,Yo Malaysian went Seungri 's restaurant recently ? I 100 % recommend ! ! It 's hella good . Not pricey either .,Yo Malaysian go Seungri 's restaurant recently ? I 100 % recommend ! ! it be hella good . not pricey either .
Mino 😘,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Mino ,pt,Mino,Mino,mino
OMG I LOVEEEEEEEEEEE HIM 💓😂,2018-10-26 00:00:00+00:00,hii0tpk8Dss,OMG I LOVEEEEEEEEEEE HIM ,en,OMG I LOVEEEEEEEEEEE HIM ,OMG I LOVEEEEEEEEEEE HIM,OMG I LOVEEEEEEEEEEE HIM
"Seungri said that 1,2,3! Is meant for Blackpink but they said that it's much better if a guy sing it.

Lol, it make sense now because Seungri is the Hidden member of Blackpink 😂😘",2018-07-20 00:00:00+00:00,Q7sHwg2Z21U,"Seungri said that 1,2,3! Is meant for Blackpink but they said that it's much better if a guy sing it.

Lol, it make sense now because Seungri is the Hidden member of Blackpink ",en,"Seungri said that 1,2,3! Is meant for Blackpink but they said that it's much better if a guy sing it.

Lol, it make sense now because Seungri is the Hidden member of Blackpink ","Seungri said 1,2,3 ! Is meant Blackpink said 's much better guy sing . Lol , make sense Seungri Hidden member Blackpink","seungri say 1,2,3 ! be mean Blackpink say be much well guy sing . lol , make sense Seungri Hidden member blackpink"
Most extra MV of the year. But its seungri so it has to be good. No one hate this video unless they have lots of strength to not fall in love.,2018-07-30 00:00:00+00:00,m2MtOeuCgh8,Most extra MV of the year. But its seungri so it has to be good. No one hate this video unless they have lots of strength to not fall in love.,en,Most extra MV of the year. But its seungri so it has to be good. No one hate this video unless they have lots of strength to not fall in love.,Most extra MV year . But seungri good . No one hate video unless lots strength fall love .,most extra MV year . but seungri good . no one hate video unless lot strength fall love .
"Because super junior is the one who spread kpop globally  that's why even non kpop fan knew them. 
Believe it or not super junior and girls generation are the best and most popular group in their era .",2018-06-05 00:00:00+00:00,hii0tpk8Dss,"Because super junior is the one who spread kpop globally  that's why even non kpop fan knew them. 
Believe it or not super junior and girls generation are the best and most popular group in their era .",en,"Because super junior is the one who spread kpop globally  that's why even non kpop fan knew them. 
Believe it or not super junior and girls generation are the best and most popular group in their era .",Because super junior one spread kpop globally 's even non kpop fan knew . Believe super junior girls generation best popular group era .,because super junior one spread kpop globally 's even non kpop fan know . believe super junior girl generation well popular group era .
"Of course, it take YG to save the world 🌎!!! 😆",2018-07-27 00:00:00+00:00,m2MtOeuCgh8,"Of course, it take YG to save the world !!! ",en,"Of course, it take YG to save the world !!! !","Of course , take YG save world ! ! ! !","of course , take yg save world ! ! ! !"
In my country a lot of people would say PSY. xD,2019-01-25 00:00:00+00:00,hii0tpk8Dss,In my country a lot of people would say PSY. xD,en,In my country a lot of people would say PSY. xD,In country lot people would say PSY . xD,in country lot people would say PSY . xd
Hermosoo!! 😍,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Hermosoo!! ,nl,Hermosoo! !,Hermosoo ! !,Hermosoo ! !
"""Why does malaysian eat ramyeon""  facepalm",2018-03-12 00:00:00+00:00,AZk7RBpeaHM,"""Why does malaysian eat ramyeon""  facepalm",en,"""Why does malaysian eat ramyeon""  facepalm",`` Why malaysian eat ramyeon '' facepalm,` ` why malaysian eat ramyeon '' facepalm
YG Where are the English subtitles !!?? O mejor aún los subtítulos en español ㄱ.ㄱ,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,YG Where are the English subtitles !!?? O mejor aún los subtítulos en español ㄱ.ㄱ,es,YG Where are the English subtitles !?? Or even better subtitles in Spanish ..  ,YG Where English subtitles ! ? ? Or even better subtitles Spanish ..,yg where english subtitle ! ? ? or even well subtitle Spanish ..
0:12 문상훈 뭐함 여기섴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2018-07-27 00:00:00+00:00,m2MtOeuCgh8,0:12 문상훈 뭐함 여기섴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ko,0:12  문  문,0:12 문 문,0:12 문 문
Came back here after  hearing SM approving Jennie and Kai's Relationship.,2019-01-01 00:00:00+00:00,YZqxolXNC2k,Came back here after  hearing SM approving Jennie and Kai's Relationship.,en,Came back here after  hearing SM approving Jennie and Kai's Relationship.,Came back hearing SM approving Jennie Kai 's Relationship .,come back hear sm approve Jennie Kai 's Relationship .
Vietnam....,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Vietnam....,lv,Vietnam....,Vietnam ....,Vietnam ....
Now Jennie has also been to the 7th floor. Damn things change.,2019-01-02 00:00:00+00:00,YZqxolXNC2k,Now Jennie has also been to the 7th floor. Damn things change.,en,Now Jennie has also been to the 7th floor. Damn things change.,Now Jennie also 7th floor . Damn things change .,now Jennie also 7th floor . damn thing change .
"Mi minoooo !!!!....  que boñitooo como siempre arte en donde quiera, estuvo jenial  el video  wooow buen trabajo ❤❤❤❤❤❤😀",2018-07-31 00:00:00+00:00,-ODTMpRFS5A,"Mi minoooo !!!!....  que boñitooo como siempre arte en donde quiera, estuvo jenial  el video  wooow buen trabajo ",es,"My minoooo !!!!... that boñitooo as always art wherever you want, was jenial the video wooow good work","My minoooo ! ! ! ! ... boñitooo always art wherever want , jenial video wooow good work","my minoooo ! ! ! ! ... boñitooo always art wherever want , jenial video wooow good work"
"OMG Super Junior, their popularity is not joke. King as well.",2018-06-01 00:00:00+00:00,hii0tpk8Dss,"OMG Super Junior, their popularity is not joke. King as well.",en,"OMG Super Junior, their popularity is not joke. King as well.","OMG Super Junior , popularity joke . King well .","OMG Super Junior , popularity joke . King well ."
VIP where ???!!!!!!!!!!!!!!!! 1 day= 5 millon for OUR PANDA!!!,2018-07-20 00:00:00+00:00,Q7sHwg2Z21U,VIP where ???!!!!!!!!!!!!!!!! 1 day= 5 millon for OUR PANDA!!!,en,VIP where ???!!!!!!!!!!!!!!!! 1 day= 5 millon for OUR PANDA!!!,VIP ? ? ? ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 1 day= 5 millon OUR PANDA ! ! !,vip ? ? ? ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 1 day= 5 millon OUR PANDA ! ! !
"When did Malaysian eat ramen? 
.
.
.
YOU GOT TO BE KIDDING ME! RAMYEON IS THE MOST FAMOUS NOWDAYS.  ITS MIGHT BE 1% FOOD PRODUCT THAT COULD BE FINISHED IN MILISECOND!",2018-05-11 00:00:00+00:00,AZk7RBpeaHM,"When did Malaysian eat ramen? 
.
.
.
YOU GOT TO BE KIDDING ME! RAMYEON IS THE MOST FAMOUS NOWDAYS.  ITS MIGHT BE 1% FOOD PRODUCT THAT COULD BE FINISHED IN MILISECOND!",en,"When did Malaysian eat ramen? 
.
.
.
YOU GOT TO BE KIDDING ME! RAMYEON IS THE MOST FAMOUS NOWDAYS.  ITS MIGHT BE 1% FOOD PRODUCT THAT COULD BE FINISHED IN MILISECOND!",When Malaysian eat ramen ? . . . YOU GOT TO BE KIDDING ME ! RAMYEON IS THE MOST FAMOUS NOWDAYS . ITS MIGHT BE 1 % FOOD PRODUCT THAT COULD BE FINISHED IN MILISECOND !,when malaysian eat raman ? . . . you got to be kid I ! RAMYEON be the most FAMOUS NOWDAYS . its might be 1 % food product that could be finish in MILISECOND !
Ahahaha ada lisa nyempil disitu😁😁😁,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Ahahaha ada lisa nyempil disitu,id,Ahahaha no lisa nyempil disitu,Ahahaha lisa nyempil disitu,Ahahaha lisa nyempil disitu
los extrañamos de verdad....😘😘😘😘😘 a todos ya vuelvan Porfavor😱,2018-06-04 00:00:00+00:00,hii0tpk8Dss,los extrañamos de verdad.... a todos ya vuelvan Porfavor,es,we really miss them... everyone back,really miss ... everyone back,really miss ... everyone back
Got HairSpray vibes,2018-07-22 00:00:00+00:00,MtW75y4kEfY,Got HairSpray vibes,en,Got HairSpray vibes,Got HairSpray vibes,Got HairSpray vibe
Stage full with the dancers 😂😂,2018-07-22 00:00:00+00:00,MtW75y4kEfY,Stage full with the dancers ,en,Stage full with the dancers ,Stage full dancers,stage full dancer
